levels,range_pct,leverage,order_size_ratio,fill_failure_rate,trades,return_pct,max_dd_pct,pf,win_rate
7,0.01,2.0,0.03,0.02,578911,2409.8566959017494,652.3718000919325,1.0021263533060631,48.437950342138585
7,0.01,2.0,0.03,0.05,561392,2390.4393681687397,659.8275122974253,1.0021698576912361,48.445900619306414
7,0.01,2.0,0.03,0.0,590381,2221.628743726963,671.6670835537132,1.0019434083867045,48.42675087402729
5,0.01,2.0,0.03,0.0,382112,1663.9241367429331,606.8232451523121,1.0022193176380778,48.65062069188177
7,0.005,2.0,0.03,0.0,688298,1543.3722517818528,420.4092537112163,1.0019947919604824,48.24763234872937
5,0.01,2.0,0.03,0.05,363075,1622.7463772866572,582.5535280078034,1.0022789364474811,48.65213136672943
5,0.01,2.0,0.03,0.02,374517,1625.3785723343726,596.4308777274716,1.00221482636152,48.64595206344184
7,0.005,2.0,0.03,0.05,654230,1531.7597510953078,430.12530710051504,1.00206964596357,48.26979037906881
6,0.01,2.0,0.03,0.0,485848,1632.0586253503943,665.015913745586,1.0017517193900332,48.513344426815266
6,0.01,2.0,0.03,0.02,476237,1611.332890712081,669.9282374228039,1.0017568032636588,48.51269282744786
